"Name","Address","City_State_ZIP","Country","URL","long","lat"
"Sightglass Coffee Roasters","270 7th Street","San Francisco, CA 94103","United States","http://sightglasscoffee.com/",-122.408568,37.777044
"Simple Pleasures Coffee Roasting Company","3422 Balboa St.","San Francisco, CA 94121","United States","http://www.simplepleasurescoffee.com/",-122.495372,37.775877
"SOMA Coffee","1601 Howard St.","San Francisco, CA 94103","United States","None",-122.4169,37.771724
"Sonoma Valley Coffee Roasters","64 1st Street East, Suite H","Sonoma, CA 95476","United States","None",-122.455383,38.298178
"Spella Caffè","520 SW 5th Ave.","Portland, OR 97204","United States","http://www.spellacaffe.com/",-122.676835,45.519973
"Starbucks Coffee","2401 Utah Avenue South, P.O. Box 34067","Seattle, WA 98134","United States","http://www.starbucks.com/",-122.338045,47.577599
"Steady Eddy's","5 E Main S., Ste. A","Winters, CA 95694","United States","None",-121.968929,38.521906
"Stumptown Coffee Roasters","3377 SE Division Street, Suite 101","Portland, OR 97202","United States","http://www.stumptowncoffee.com/",-122.63016,45.504868
"Sue's Coffee Roasting Company","7501 Monterey St.","Gilroy, CA 95020","United States","http://www.suescoffeeroasting.com/",-121.569367,37.008114
"Sugar Café","679 Sutter St.","San Francisco, CA 94102","United States","http://www.sugarcafesf.com/",-122.411424,37.788936
"Sundance Coffee","2295 Third St.","San Francisco, CA 94107","United States","http://www.sundancecoffeesf.com/",-122.388453,37.760506
"Sunrise Coffee Company","2519 Williams Street","San Leandro, CA 94577","United States","None",-122.187731,37.705992
"Superior","990 Supreme Drive","Bensenville, IL 60106","United States","http://www.superiorcoffee.com/",-87.952763,41.981601
"Surf City Coffee Company","9111 Soquel Dr.","Aptos, CA 95003","United States","http://www.surfcitycoffee.com/",-121.88579,36.976194
"Taste of Rome","1000 Bridgeway","Sausalito, CA 94965","United States","http://www.taste-of-rome.com/",-122.483006,37.858443
"Taylor Maid Farms","7190 Keating Ave.","Sebastopol, CA 95472","United States","http://www.taylormaidfarms.com/",-122.826886,38.403866
